rubric_version_code,chapter_type_code,section_name,section_code,section_order,subsection_name,subsection_code,subsection_order,criterion_code,criterion_text,item_type,is_required,default_point_value,display_order,active
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,1.) Financial Management,1_financial_management,1,1.1,Chapter has a valid bank account with appropriate account holder,activity,false,1,1,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,1.) Financial Management,1_financial_management,1,a.,District Fees (Conference Registration & Chapter Assessment),activity,false,1,2,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,1.) Financial Management,1_financial_management,1,b.,Regional Fees (Convention Registration & Chapter Assessment),activity,false,1,3,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,1.) Financial Management,1_financial_management,1,c.,"General Fees (Chapter Tax, Chapter Insurance, Premium Insurance)",activity,false,1,4,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,1.) Financial Management,1_financial_management,1,1.3,Created a Operating Budget for the fraternal year,activity,false,1,5,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,1.) Financial Management,1_financial_management,1,1.4,Created a Expense & Revenue Report for the fraternal year,activity,false,1,6,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,1.) Financial Management,1_financial_management,1,1.5,Submission of GRIP,activity,false,1,7,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,1.) Financial Management,1_financial_management,1,1.6,Submission of the chapter's most recent audit can’t be more than 120 days after the end of the Fraternal year,activity,false,1,8,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,1.) Financial Management,1_financial_management,1,1.7,990 form submission for Chapters with Foundations,activity,false,1,9,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,2.) Organizational Deadlines,2_organizational_deadlines,2,2.1,President participates in meeting(s) hosted by Area Director or District Director,activity,false,1,1,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,2.) Organizational Deadlines,2_organizational_deadlines,2,2.2,Chapter has updated Directory and Chapter Officers in AlphaMX before May 31st,activity,false,1,2,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,2.) Organizational Deadlines,2_organizational_deadlines,2,2.3,At Least 50% of Chapter is IMDP & Risk-Management Certified,activity,false,1,3,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,2.) Organizational Deadlines,2_organizational_deadlines,2,2.4,100% of Chapter Officers are IMDP & Risk-Management Certified,activity,false,1,4,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,3.) Officer Transitioning,3_officer_transitioning,3,3.1,"Executive board has officer-specific transition meeting(s) (President, VP, Treasurer, Secretary, etc.)",activity,false,1,1,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,3.) Officer Transitioning,3_officer_transitioning,3,3.2,Update Chapter Officers on AlphaMX before the start of the fraternal year,activity,false,1,2,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,3.) Officer Transitioning,3_officer_transitioning,3,3.3,Chapter holds Leadership Retreat,activity,false,1,3,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,4.) Organization Marketing/Branding,4_organization_marketing_branding,4,4.1,Percentage of chapter with fully completed AlphaElite Profile(s),metric,false,1,1,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,4.) Organization Marketing/Branding,4_organization_marketing_branding,4,4.2,Chapter has active and updated Email,activity,false,1,2,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,4.) Organization Marketing/Branding,4_organization_marketing_branding,4,4.3,Chapter has active and updated Website,activity,false,1,3,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,4.) Organization Marketing/Branding,4_organization_marketing_branding,4,4.4,Chapter has active and updated Instagram,activity,false,1,4,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,4.) Organization Marketing/Branding,4_organization_marketing_branding,4,4.5,Chapter has active and updated Facebook,activity,false,1,5,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,4.) Organization Marketing/Branding,4_organization_marketing_branding,4,4.6,Chapter has active and updated Twitter,activity,false,1,6,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,4.) Organization Marketing/Branding,4_organization_marketing_branding,4,4.7,Chapter is following Alpha Phi Alpha Instagram,activity,false,1,7,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,4.) Organization Marketing/Branding,4_organization_marketing_branding,4,4.8,Chapter is following Alpha Phi Alpha Facebook,activity,false,1,8,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,4.) Organization Marketing/Branding,4_organization_marketing_branding,4,4.9,Chapter is following Alpha Phi Alpha Twitter,activity,false,1,9,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.1,Chapter registers full delegate strength to District Conference/Convention,activity,false,1,1,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.2,Pecentage of Chapter Non-Delegates in attendance at District Conference/Convention,metric,false,1,2,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.3,Chapter participates in District Conference Competition(s),activity,false,1,3,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.4,Award(s) won at District Conference (Select All That Apply),metric,false,1,4,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.5,Chapter sends full delegate(s) strength to Regional Convention,activity,false,1,5,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.6,"Pecentage of Chapter, outside of delegates, in attendance at Regional Convention",metric,false,1,6,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.7,Chapter participates in Regional Convention Award(s),activity,false,1,7,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.8,Award(s) won at Regional Convention (Select All That Apply),metric,false,1,8,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.9,Chapter sends full delegate(s) strength to General Convention,activity,false,1,9,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.10,"Pecentage of Chapter, outside of delegates, in attendance at General Convention:",metric,false,1,10,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.11,Chapter participates in General Convention Award(s),activity,false,1,11,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,5.) Conference & Conventions,5_conference_conventions,5,5.12,Award(s) won at General Convention (Select All That Apply),metric,false,1,12,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,6.) Advisor Involvement with Overseen College Chapter(s),6_advisor_involvement_with_overseen_college_chapter_s,6,6.1,Number of Chapter Alpha Advisors,metric,false,1,1,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,6.) Advisor Involvement with Overseen College Chapter(s),6_advisor_involvement_with_overseen_college_chapter_s,6,6.2,Completion of Alpha Advisor Training for all chapter advisors,activity,false,1,2,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,6.) Advisor Involvement with Overseen College Chapter(s),6_advisor_involvement_with_overseen_college_chapter_s,6,6.3,Advisor attendance percentage for chapter meetings,activity,false,1,3,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,6.) Advisor Involvement with Overseen College Chapter(s),6_advisor_involvement_with_overseen_college_chapter_s,6,6.4,Advisor attendance percentage for events and programming,activity,false,1,4,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,7.) Chapter Involvement with Overseeing Alumni Chapter(s),7_chapter_involvement_with_overseeing_alumni_chapter_s,7,7.1,Chapter attend(s) Alumni Chapter meeting(s),activity,false,1,1,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,7.) Chapter Involvement with Overseeing Alumni Chapter(s),7_chapter_involvement_with_overseeing_alumni_chapter_s,7,7.2,Chapter attendance percentage for Alumni Chapter meetings:,activity,false,1,2,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,7.) Chapter Involvement with Overseeing Alumni Chapter(s),7_chapter_involvement_with_overseeing_alumni_chapter_s,7,7.3,Chapter attend(s) Alumni event(s),activity,false,1,3,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,7.) Chapter Involvement with Overseeing Alumni Chapter(s),7_chapter_involvement_with_overseeing_alumni_chapter_s,7,7.2,Chapter attendance percentage for Alumni event(s):,activity,false,1,4,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,7.) Chapter Involvement with Overseeing Alumni Chapter(s),7_chapter_involvement_with_overseeing_alumni_chapter_s,7,7.4,"Communication with Alumni Chapter for Events/Program (Newsletter, E-mail, Report-out, etc)",activity,false,1,5,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,8.) Professional & Career Enrichment,8_professional_career_enrichment,8,8.1,Chapter host Professional / Career Programming events for the fraternal term (Fall/Spring),activity,false,1,1,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,8.) Professional & Career Enrichment,8_professional_career_enrichment,8,8.2,Pecentage of Chapter in attendance at Professional / Career Programming events for the fraternal term:,metric,false,1,2,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,9.) College Retention,9_college_retention,9,9.1,Chapter host Rentention & Reactivation Programming for the fraternal term (Fall/Spring),activity,false,1,1,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,9.) College Retention,9_college_retention,9,9.2,Pecentage of Chapter in attendance at Rentention & Reactivation Programming for the fraternal term:,metric,false,1,2,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,9.) College Retention,9_college_retention,9,9.3,Chapter host Rentention programming for Graduating Seniors,activity,false,1,3,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,9.) College Retention,9_college_retention,9,9.4,Pecentage of Chapter in attendance at Rentention programming for Graduating Seniors:,metric,false,1,4,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,9.) College Retention,9_college_retention,9,9.5,Amount of Rentention Programming for Graduating Seniors for the fraternal term (Fall/Spring),metric,false,1,5,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,9.) College Retention,9_college_retention,9,9.6,Amount of initiated Brother(s) the chapter has Retained:,metric,false,1,6,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,10.) IMDP/Intake Compliance,10_imdp_intake_compliance,10,10.1,Chapter participates in IMDP each semester.,activity,false,1,1,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,10.) IMDP/Intake Compliance,10_imdp_intake_compliance,10,10.2,Chapter conducts IMDP once each fraternal year.,activity,false,1,2,true
collegiate_v1,collegiate,Operational Excellence,operational_excellence,1,10.) IMDP/Intake Compliance,10_imdp_intake_compliance,10,10.3,"Chapter Intake Membership Coordinator, sponsors, and recommenders complete role-specific IMDP training in Alpha University.",activity,false,1,3,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,"1.) Go To High School, Go To College",1_go_to_high_school_go_to_college,1,1.1,"Chapter holds a Go To High School, Go To College program",activity,false,1,1,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,"1.) Go To High School, Go To College",1_go_to_high_school_go_to_college,1,1.2,Pecentage of Chapter in attendance:,metric,false,1,2,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,"1.) Go To High School, Go To College",1_go_to_high_school_go_to_college,1,1.3,"Amount of Go To High School, Go To College programming events for the fraternal term (Fall/Spring)",metric,false,1,3,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,"1.) Go To High School, Go To College",1_go_to_high_school_go_to_college,1,1.4,Chapter is a co-Sponsor of program with College Chapter,activity,false,1,4,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,"1.) Go To High School, Go To College",1_go_to_high_school_go_to_college,1,1.5,Chapter is a co-sponsor of program with another organization (Greek or non-Greek),activity,false,1,5,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,"1.) Go To High School, Go To College",1_go_to_high_school_go_to_college,1,1.6,Chapter is a co-sponsor of program with another Alumni Chapter(s),activity,false,1,6,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,2.) Voteless People is a Hopeless People,2_voteless_people_is_a_hopeless_people,2,2.1,Chapter holds a Voteless People is a Hopeless People program.,activity,false,1,1,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,2.) Voteless People is a Hopeless People,2_voteless_people_is_a_hopeless_people,2,2.2,Pecentage of Chapter in attendance at Voteless People is a Hopeless People programming events,metric,false,1,2,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,2.) Voteless People is a Hopeless People,2_voteless_people_is_a_hopeless_people,2,2.3,Amount of Voteless People is a Hopeless People programming events for the fraternal term (Fall/Spring),metric,false,1,3,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,2.) Voteless People is a Hopeless People,2_voteless_people_is_a_hopeless_people,2,2.4,Chapter is a co-Sponsor of program with College Chapter,activity,false,1,4,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,2.) Voteless People is a Hopeless People,2_voteless_people_is_a_hopeless_people,2,2.5,Chapter is a co-sponsor of program with another organization (Greek or non-Greek),activity,false,1,5,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,2.) Voteless People is a Hopeless People,2_voteless_people_is_a_hopeless_people,2,2.6,Chapter is a co-sponsor of program with another Alumni Chapter(s),activity,false,1,6,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,3.) Project Alpha,3_project_alpha,3,3.1,Chapter holds a in Project Alpha program,activity,false,1,1,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,3.) Project Alpha,3_project_alpha,3,3.2,Pecentage of Chapter in attendance at Project Alpha programming events,metric,false,1,2,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,3.) Project Alpha,3_project_alpha,3,3.3,Amount of Project Alpha programming events for the fraternal term (Fall/Spring),metric,false,1,3,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,3.) Project Alpha,3_project_alpha,3,3.4,Chapter is a co-Sponsor of program with College Chapter,activity,false,1,4,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,3.) Project Alpha,3_project_alpha,3,3.5,Chapter is a co-sponsor of program with another organization (Greek or non-Greek),activity,false,1,5,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,3.) Project Alpha,3_project_alpha,3,3.6,Chapter is a co-sponsor of program with another Alumni Chapter(s),activity,false,1,6,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,4.) Brother’s Keeper,4_brother_s_keeper,4,4.1,Chapter holds a Brother’s Keeper program,activity,false,1,1,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,4.) Brother’s Keeper,4_brother_s_keeper,4,4.2,Pecentage of Chapter in attendance at Brother’s Keeper programming events:,metric,false,1,2,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,4.) Brother’s Keeper,4_brother_s_keeper,4,4.3,Amount of Brother’s Keeper programming events for the fraternal term (Fall/Spring),metric,false,1,3,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,4.) Brother’s Keeper,4_brother_s_keeper,4,4.4,Chapter is a co-Sponsor of program with College Chapter,activity,false,1,4,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,4.) Brother’s Keeper,4_brother_s_keeper,4,4.5,Chapter is a co-sponsor of program with another organization (Greek or non-Greek),activity,false,1,5,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,4.) Brother’s Keeper,4_brother_s_keeper,4,4.6,Chapter is a co-sponsor of program with another Alumni Chapter(s),activity,false,1,6,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,5.) College Life to Corporate Life,5_college_life_to_corporate_life,5,5.1,Chapter holds a College Life to Corporate Life event,activity,false,1,1,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,5.) College Life to Corporate Life,5_college_life_to_corporate_life,5,5.2,Pecentage of Chapter in attendance at College Life to Corporate Life programming events:,metric,false,1,2,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,5.) College Life to Corporate Life,5_college_life_to_corporate_life,5,5.3,Amount of College Life to Corporate Life programming events for the fraternal term (Fall/Spring),metric,false,1,3,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,5.) College Life to Corporate Life,5_college_life_to_corporate_life,5,5.4,Chapter is a co-Sponsor of program with College Chapter,activity,false,1,4,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,5.) College Life to Corporate Life,5_college_life_to_corporate_life,5,5.5,Chapter is a co-sponsor of program with another organization (Greek or non-Greek),activity,false,1,5,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,5.) College Life to Corporate Life,5_college_life_to_corporate_life,5,5.6,Chapter is a co-sponsor of program with another Alumni Chapter(s),activity,false,1,6,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,6.) Leadership Development Institute,6_leadership_development_institute,6,6.1,Chapter participates or engages in a Leadership Development Institute event,activity,false,1,1,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,6.) Leadership Development Institute,6_leadership_development_institute,6,6.2,Pecentage of Chapter in attendance at Leadership Development Institute programming,metric,false,1,2,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,6.) Leadership Development Institute,6_leadership_development_institute,6,6.3,Amount of Leadership Development Institute programming events for the fraternal term (Fall/Spring),metric,false,1,3,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,6.) Leadership Development Institute,6_leadership_development_institute,6,6.4,Chapter is a co-Sponsor of program with an College Chapter,activity,false,1,4,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,6.) Leadership Development Institute,6_leadership_development_institute,6,6.5,Chapter is a co-sponsor of program with another organization (Greek or non-Greek),activity,false,1,5,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,6.) Leadership Development Institute,6_leadership_development_institute,6,6.6,Chapter is a co-sponsor of program with another Alumni Chapter(s),activity,false,1,6,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,7.) Boy Scouts of America,7_boy_scouts_of_america,7,7.1,Chapter participates in a Boy Scouts of America programming event,activity,false,1,1,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,7.) Boy Scouts of America,7_boy_scouts_of_america,7,7.2,Pecentage of Chapter in attendance at Boy Scouts of America programming events,metric,false,1,2,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,7.) Boy Scouts of America,7_boy_scouts_of_america,7,7.3,Amount of Boy Scouts of America programming events for the fraternal term (Fall/Spring),metric,false,1,3,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,7.) Boy Scouts of America,7_boy_scouts_of_america,7,7.4,Chapter is a co-Sponsor of program with College Chapter,activity,false,1,4,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,7.) Boy Scouts of America,7_boy_scouts_of_america,7,7.5,Chapter is a co-sponsor of program with another organization (Greek or non-Greek),activity,false,1,5,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,7.) Boy Scouts of America,7_boy_scouts_of_america,7,7.6,Chapter is a co-sponsor of program with another Alumni Chapter(s),activity,false,1,6,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,8.) Big Brothers / Big Sisters of America,8_big_brothers_big_sisters_of_america,8,8.1,Chapter participates or engages in an Big Brothers / Big Sisters of America programming events for the fraternal term (Fall/Spring),activity,false,1,1,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,8.) Big Brothers / Big Sisters of America,8_big_brothers_big_sisters_of_america,8,8.2,Pecentage of Chapter in attendance at Big Brothers / Big Sisters of America programming events,metric,false,1,2,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,8.) Big Brothers / Big Sisters of America,8_big_brothers_big_sisters_of_america,8,8.3,Amount of Big Brothers / Big Sisters of America programming events for the fraternal term (Fall/Spring),metric,false,1,3,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,8.) Big Brothers / Big Sisters of America,8_big_brothers_big_sisters_of_america,8,8.5,Chapter is a co-Sponsor of program with College Chapter,activity,false,1,4,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,8.) Big Brothers / Big Sisters of America,8_big_brothers_big_sisters_of_america,8,8.6,Chapter is a co-sponsor of program with another organization (Greek or non-Greek),activity,false,1,5,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,8.) Big Brothers / Big Sisters of America,8_big_brothers_big_sisters_of_america,8,8.7,Chapter is a co-sponsor of program with another Alumni Chapter(s),activity,false,1,6,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,9.) Cannon-Dozier Project,9_cannon_dozier_project,9,9.1,Chapter participates or engages in an Cannon-Dozier programming events for the fraternal term (Fall/Spring),activity,false,1,1,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,9.) Cannon-Dozier Project,9_cannon_dozier_project,9,9.2,Pecentage of Chapter in attendance at Cannon-Dozier programming events,metric,false,1,2,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,9.) Cannon-Dozier Project,9_cannon_dozier_project,9,9.3,Amount of Cannon-Dozier programming events for the fraternal term (Fall/Spring),metric,false,1,3,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,9.) Cannon-Dozier Project,9_cannon_dozier_project,9,9.4,Chapter is a co-Sponsor of program with College Chapter,activity,false,1,4,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,9.) Cannon-Dozier Project,9_cannon_dozier_project,9,9.5,Chapter is a co-sponsor of program with another organization (Greek or non-Greek),activity,false,1,5,true
collegiate_v1,collegiate,National Programs & Special Initiatives,national_programs_special_initiatives,2,9.) Cannon-Dozier Project,9_cannon_dozier_project,9,9.6,Chapter is a co-sponsor of program with another Alumni Chapter(s),activity,false,1,6,true
collegiate_v1,collegiate,Campus & Community Engagement,campus_community_engagement,3,1.) Campus & Community Leadership,1_campus_community_leadership,1,1.1,Chapter representative(s) attend(s) Student Govenrment Association (SGA) meeting(s),activity,false,1,1,true
collegiate_v1,collegiate,Campus & Community Engagement,campus_community_engagement,3,1.) Campus & Community Leadership,1_campus_community_leadership,1,1.2,SGA Representative(s) meeting attendance percentage:,activity,false,1,2,true
collegiate_v1,collegiate,Campus & Community Engagement,campus_community_engagement,3,1.) Campus & Community Leadership,1_campus_community_leadership,1,1.3,Chapter representative(s) attend(s) National Pan - Hellenic Council (NPHC) meeting(s),activity,false,1,3,true
collegiate_v1,collegiate,Campus & Community Engagement,campus_community_engagement,3,1.) Campus & Community Leadership,1_campus_community_leadership,1,1.4,NPHC Representative(s) meeting attendance percentage:,activity,false,1,4,true
collegiate_v1,collegiate,Campus & Community Engagement,campus_community_engagement,3,1.) Campus & Community Leadership,1_campus_community_leadership,1,1.7,Chapter Member(s) hold Executive Board(s) position(s) outside of Chapter,activity,false,1,5,true
collegiate_v1,collegiate,Campus & Community Engagement,campus_community_engagement,3,1.) Campus & Community Leadership,1_campus_community_leadership,1,1.8,Percentage of Chapter Member(s) serving on Executive Board(s) outside of Chapter:,metric,false,1,6,true
collegiate_v1,collegiate,Campus & Community Engagement,campus_community_engagement,3,1.) Campus & Community Leadership,1_campus_community_leadership,1,1.9,Chapter Member(s) are apart of Honor Societies,activity,false,1,7,true
